###########################################################;;;;;;;;;;;;;x
USA_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_1;BuShips 1918 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_2;BuShips 1930 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_3;BuShips 1932 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_4;BuShips 1934 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_0;;;;;;;;;;;;;;x
USA_destroyer_class_1;BuShips 1936 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_2;BuShips 1938 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_3;BuShips 1940 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_4;BuShips 1942 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_5;BuShips 1944 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_6;BuShips 1946 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_7;BuShips 1948 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_8;BuShips 1950 Destroyer Blueprint;;;;;;;;;;;;;x
USA_frigate_class_0;;;;;;;;;;;;;;x
USA_frigate_class_1;BuShips 1939 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_2;BuShips 1940 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_3;BuShips 1942 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_4;BuShips 1944 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_5;BuShips 1946 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_6;BuShips 1948 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_7;BuShips 1950 Frigate Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_0;;;;;;;;;;;;;;x
USA_torpedo_boat_class_1;BuShips 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_2;BuShips 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_3;BuShips 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_4;BuShips 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_5;BuShips 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_6;BuShips 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_7;BuShips 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_8;BuShips 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_9;BuShips 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_10;BuShips 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_11;BuShips 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_1;BuShips 1918 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_2;BuShips 1932 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_3;BuShips 1934 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_4;BuShips 1936 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_5;BuShips 1938 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_6;BuShips 1940 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_7;BuShips 1942 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_8;BuShips 1944 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_9;BuShips 1946 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_10;BuShips 1948 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_11;BuShips 1950 MTB Blueprint;;;;;;;;;;;;;x
USA_submarine_fire_control_1;Mk I TDC;;;;;;;;;;;;;;x
USA_submarine_fire_control_2;Mk I / Mk II TDC;;;;;;;;;;;;;;x
USA_submarine_fire_control_3;Mk II TDC;;;;;;;;;;;;;;x
USA_submarine_fire_control_4;Mk III TDC;;;;;;;;;;;;;;x
USA_submarine_fire_control_5;Mk IV TDC;;;;;;;;;;;;;;x
USA_submarine_fire_control_6;Mk V TDC;;;;;;;;;;;;;;x
USA_submarine_damage_control_1;;;;;;;;;;;;;;;x
USA_submarine_damage_control_2;;;;;;;;;;;;;;;x
USA_submarine_damage_control_3;;;;;;;;;;;;;;;x
USA_submarine_damage_control_4;;;;;;;;;;;;;;;x
USA_submarine_damage_control_5;;;;;;;;;;;;;;;x
USA_submarine_damage_control_6;;;;;;;;;;;;;;;x
USA_submarine_damage_control_7;;;;;;;;;;;;;;;x
USA_electric_powered_torpedo_1;;;;;;;;;;;;;;;x
USA_submarine_snorkel_1;;;;;;;;;;;;;;;x
USA_submarine_snorkel_2;;;;;;;;;;;;;;;x
USA_submarine_snorkel_3;;;;;;;;;;;;;;;x
USA_submarine_torpedo_auto_loading_system_1;;;;;;;;;;;;;;;x
USA_submarine_large_battery_capacity_1;;;;;;;;;;;;;;;x
USA_submarine_thick_pressure_hull_1;;;;;;;;;;;;;;;x
USA_submarine_air_conditioning_1;;;;;;;;;;;;;;;x
USA_submarine_silent_running_drive_1;;;;;;;;;;;;;;;x
USA_submarine_electroboat_1;BuShips Elecroboat Engine 1942;;;;;;;;;;;;;;x
USA_submarine_electroboat_2;BuShips Elecroboat Engine 1944;;;;;;;;;;;;;;x
USA_submarine_electroboat_3;BuShips Elecroboat Engine 1946;;;;;;;;;;;;;;x
USA_submarine_electroboat_4;BuShips Elecroboat Engine 1948;;;;;;;;;;;;;;x
USA_milch_submarine_1;;;;;;;;;;;;;;;x
USA_midget_submarine_activation_1;;;;;;;;;;;;;;;x
USA_submarine_radar_1;SD/SV Radar;;;;;;;;;;;;;;x
USA_submarine_radar_2;SD/SV/SDC Radar;;;;;;;;;;;;;;x
USA_submarine_radar_3;SD/SV/SDC/SJ Radar;;;;;;;;;;;;;;x
USA_submarine_radar_4;SD/SV/SDC/SJ/Mark X Radar;;;;;;;;;;;;;;x
USA_submarine_radar_5;SD/SV/SDC/SJ/Mark X Radar;;;;;;;;;;;;;;x
USA_proximity_fuze_ships_1;;;;;;;;;;;;;;;x
################### UNIQUE SHIPS TECHS ##################################;;;;;;;;;;;;;x
USA_battleship_technology_hidden_0;BuShips 1918 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_technology_hidden_1;BuShips 1918 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_technology_hidden_2;BuShips 1930 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_technology_hidden_3;BuShips 1933 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_class_hidden_1;BuShips 1936 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_class_hidden_2;BuShips 1939 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_class_hidden_3;BuShips 1942 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_class_hidden_4;BuShips 1945 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_class_hidden_5;BuShips 1948 Battleship Blueprint;;;;;;;;;;;;;x
USA_battleship_class_hidden_6;BuShips 1951 Battleship Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_technology_hidden_0;;;;;;;;;;;;;;x
USA_battlecruiser_technology_hidden_1;BuShips 1918 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_technology_hidden_2;BuShips 1930 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_technology_hidden_3;BuShips 1933 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_class_hidden_1;BuShips 1936 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_class_hidden_2;BuShips 1939 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_class_hidden_3;BuShips 1942 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_class_hidden_4;BuShips 1945 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_class_hidden_5;BuShips 1948 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_battlecruiser_class_hidden_6;BuShips 1951 Battlecruiser Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_hidden_0;BuShips 1933 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_hidden_1;BuShips 1933 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_hidden_2;BuShips 1936 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_hidden_3;BuShips 1939 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_hidden_4;BuShips 1942 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_hidden_5;BuShips 1945 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_pocket_battleship_activation_hidden_6;BuShips 1948 Pocket Battleship Blueprint;;;;;;;;;;;;;x
USA_capitalship_armament_hidden_0;;;;;;;;;;;;;;;x
USA_capitalship_armament_hidden_1;BC/BB: 14"/50 Mk IV;;;;;;;;;;;;;;x
USA_capitalship_armament_hidden_2;BC/BB: 14"/50 Mk V;;;;;;;;;;;;;;x
USA_capitalship_armament_hidden_3;BC/BB: 16"/45 Mk I/II;;;;;;;;;;;;;;x
USA_capitalship_armament_hidden_4;BC/BB: 16"/45 Mk 6 / SHBB: 16"/50 Mk 7;;;;;;;;;;;;;;x
USA_capitalship_armament_hidden_5;BC/BB: 16"/50 Mk 7 / SHBB: 18"/45 Mk 4;;;;;;;;;;;;;;x
USA_capitalship_armament_hidden_6;BC/BB: 16"/50 Mk 8 / SHBB: 18"/45 Mk 6;;;;;;;;;;;;;;x
USA_capitalship_armament_hidden_7;BC/BB: 16"/50 Mk 8 / SHBB: 18"/50 Mk 8;;;;;;;;;;;;;;x
USA_capitalship_armament_hidden_8;BC/BB: 16"/50 Mk 9 / SHBB: 20"/50 Mk 9;;;;;;;;;;;;;;x
USA_capitalship_armament_hidden_9;BC/BB: 16"/50 Mk 10 / SHBB: 20"/50 Mk 10;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_hidden_1;AP Mk 3;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_hidden_2;AP Mk 4;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_hidden_3;AP Mk 5;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_hidden_4;AP Mk 6;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_hidden_5;AP Mk 7/13;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_hidden_6;AP Mk 13;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_hidden_7;AP Mk 14;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_hidden_8;AP Mk 15;;;;;;;;;;;;;;x
USA_capitalship_armament_AP_ammo_hidden_9;AP Mk 16;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_hidden_1;HE Mk 3;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_hidden_2;HE Mk 4;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_hidden_3;HE Mk 5;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_hidden_4;HE Mk 6;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_hidden_5;HE Mk 7;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_hidden_6;HE Mk 8;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_hidden_7;HE Mk 9;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_hidden_8;HE Mk 10;;;;;;;;;;;;;;x
USA_capitalship_armament_HE_ammo_hidden_9;HE Mk 11;;;;;;;;;;;;;;x
USA_capitalship_secondary_hidden_1;5"/51 Mk7 / Mk8, 6"/53 Mk14;;;;;;;;;;;;;;x
USA_capitalship_secondary_hidden_2;5"/51 Mk7/8, 5"/25 Mk9/Mk10;;;;;;;;;;;;;;x
USA_capitalship_secondary_hidden_3;5"/51 Mk8, 5"/25 Mk9/Mk10;;;;;;;;;;;;;;x
USA_capitalship_secondary_hidden_4;5"/38 Mk12, 5"/51 Mk8, 5"/25 Mk9/Mk10;;;;;;;;;;;;;;x
USA_capitalship_secondary_hidden_5;5"/38 Mk12, 5"/51 Mk8;;;;;;;;;;;;;;x
USA_capitalship_secondary_hidden_6;5"/38 Mk12;;;;;;;;;;;;;;x
USA_capitalship_secondary_hidden_7;5"/38 Mk13;;;;;;;;;;;;;;x
USA_capitalship_secondary_hidden_8;5"/38 Mk15;;;;;;;;;;;;;;x
USA_capitalship_secondary_hidden_9;5"/38 Mk18;;;;;;;;;;;;;;x
USA_capital_ship_engine_hidden_1;28.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_hidden_2;32.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_hidden_3;36.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_hidden_4;121.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_hidden_5;212.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_hidden_6;220.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_hidden_7;230.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_hidden_8;235.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_engine_hidden_9;240.000 shp;;;;;;;;;;;;;;x
USA_capital_ship_boilers_hidden_1;12x Babcock & Wilcox, 295 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_hidden_2;12-14x Babcock & Wilcox, 295 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_hidden_3;14x Babcock & Wilcox, 295 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_hidden_4;8x Babcock & Wilcox, 600 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_hidden_5;9x Babcock & Wilcox, 600 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_hidden_6;12x Babcock & Wilcox, 600 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_hidden_7;12x Babcock & Wilcox, 700 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_hidden_8;14x Babcock & Wilcox, 700 psi;;;;;;;;;;;;;;x
USA_capital_ship_boilers_hidden_9;14x Babcock & Wilcox, 750 psi;;;;;;;;;;;;;;x
USA_capital_ship_turbines_hidden_1;GE / Westinghouse Mk 15;;;;;;;;;;;;;;x
USA_capital_ship_turbines_hidden_2;GE / Westinghouse Mk 15/16;;;;;;;;;;;;;;x
USA_capital_ship_turbines_hidden_3;GE / Westinghouse Mk 16;;;;;;;;;;;;;;x
USA_capital_ship_turbines_hidden_4;GE / Westinghouse Mk 17;;;;;;;;;;;;;;x
USA_capital_ship_turbines_hidden_5;GE / Westinghouse Mk 18;;;;;;;;;;;;;;x
USA_capital_ship_turbines_hidden_6;GE / Westinghouse Mk 19;;;;;;;;;;;;;;x
USA_capital_ship_turbines_hidden_7;GE / Westinghouse Mk 20;;;;;;;;;;;;;;x
USA_capital_ship_turbines_hidden_8;GE / Westinghouse Mk 21;;;;;;;;;;;;;;x
USA_capital_ship_turbines_hidden_9;GE / Westinghouse Mk 22;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_hidden_1;4 Blades, Mn-Bronze, 16 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_hidden_2;4 Blades, Mn-Bronze, 16 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_hidden_3;4 Blades, Mn-Bronze, 16 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_hidden_4;4 Blades, Ni-Al-Bronze, 17 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_hidden_5;4 Blades, Ni-Al-Bronze, 17.5 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_hidden_6;4 Blades, Ni-Al-Bronze, 18 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_hidden_7;4 Blades, Ni-Al-Bronze, 18.5 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_hidden_8;4 Blades, Ni-Al-Bronze, 19 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_hidden_9;4 Blades, Ni-Al-Bronze, 19.5 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_hidden_1;Balanced, 600 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_hidden_2;Balanced, 650 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_hidden_3;Balanced, 675 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_hidden_4;Balanced, 750 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_hidden_5;Balanced, 1000 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_hidden_6;Balanced, 1050 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_hidden_7;Balanced, 1100 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_hidden_8;Balanced, 1150 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_hidden_9;Balanced, 1250 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_hidden_1;BuShips Hull Shape Blueprint 1918;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_hidden_2;BuShips Hull Shape Blueprint 1930;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_hidden_3;BuShips Hull Shape Blueprint 1933;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_hidden_4;BuShips Hull Shape Blueprint 1936;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_hidden_5;BuShips Hull Shape Blueprint 1939;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_hidden_6;BuShips Hull Shape Blueprint 1942;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_hidden_7;BuShips Hull Shape Blueprint 1945;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_hidden_8;BuShips Hull Shape Blueprint 1948;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_hidden_9;BuShips Hull Shape Blueprint 1951;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_hidden_1;Turrets: 178mm Barbettes: 178mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_hidden_2;Turrets: 203mm Barbettes: 203mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_hidden_3;Turrets: 229mm Barbettes: 229mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_hidden_4;Turrets: 356mm Barbettes: 356mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_hidden_5;Turrets: 356mm Barbettes: 356mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_hidden_6;Turrets: 230mm Barbettes: 230mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_hidden_7;Turrets: 380mm Barbettes: 356mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_hidden_8;Turrets: 410mm Barbettes: 380mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_hidden_9;Turrets: 410mm Barbettes: 410mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_hidden_1;Turrets: 356mm Barbettes: 343mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_hidden_2;Turrets: 356mm Barbettes: 343mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_hidden_3;Turrets: 356mm Barbettes: 343mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_hidden_4;Turrets: 406mm Barbettes: 356mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_hidden_5;Turrets: 457mm Barbettes: 356mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_hidden_6;Turrets: 457mm Barbettes: 380mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_hidden_7;Turrets: 457mm Barbettes: 406mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_hidden_8;Turrets: 457mm Barbettes: 430mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_hidden_9;Turrets: 457mm Barbettes: 457mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_armour_thickness_hidden_1;Turrets: 650mm Barbettes: 460mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_armour_thickness_hidden_2;Turrets: 700mm Barbettes: 500mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_armour_thickness_hidden_3;Turrets: 750mm Barbettes: 550mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_armour_thickness_hidden_4;Turrets: 775mm Barbettes: 600mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_armour_thickness_hidden_5;Turrets: 775mm Barbettes: 650mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_armour_thickness_hidden_6;Turrets: 775mm Barbettes: 700mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_hidden_1;BC: 178mm / BB: 330mm / SHBB: 410mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_hidden_2;BC: 178mm / BB: 330mm / SHBB: 450mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_hidden_3;BC: 190mm / BB: 335mm / SHBB: 500mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_hidden_4;BC: 203mm / BB: 343mm / SHBB: 550mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_hidden_5;BC: 254mm / BB: 343mm / SHBB: 600mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_hidden_6;BC: 292mm / BB: 356mm / SHBB: 650mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_hidden_7;BC: 305mm / BB: 380mm / SHBB: 675mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_hidden_8;BC: 305mm / BB: 406mm / SHBB: 700mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_hidden_9;BC: 330mm / BB: 430mm / SHBB: 750mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_hidden_1;BC: 51mm / BB: 102mm / SHBB: 230mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_hidden_2;BC: 51mm / BB: 102mm / SHBB: 250mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_hidden_3;BC: 32mm / BB: 102mm / SHBB: 280mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_hidden_4;BC: 76mm / BB: 146mm / SHBB: 305mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_hidden_5;BC: 102mm / BB: 178mm / SHBB: 305mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_hidden_6;BC: 125mm / BB: 185mm / SHBB: 330mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_hidden_7;BC: 140mm / BB: 190mm / SHBB: 350mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_hidden_8;BC: 155mm / BB: 200mm / SHBB: 380mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_hidden_9;BC: 175mm / BB: 210mm / SHBB: 410mm;;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_hidden_1;BC: 0m/25mm BB: 3m/50mm SHBB: 5m/200mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_hidden_2;BC: 0m/50mm BB: 3m/50mm SHBB: 5m/200mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_hidden_3;BC: 3m/38mm BB: 3.5m/55mm SHBB: 6m/300mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_hidden_4;BC: 3.5m/75mm BB: 4m/75mm SHBB: 6m/330mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_hidden_5;BC: 4m/75mm BB: 4m/75mm SHBB: 6.5m/330mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_hidden_6;BC: 5m/85mm BB: 5m/85mm SHBB: 7m/350mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_hidden_7;BC: 5.5m/90mm BB: 5.5m/95mm SHBB: 7.5m/375mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_hidden_8;BC: 5.5m/95mm BB: 6m/105mm SHBB: 7.5m/400mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_hidden_9;BC: 6m/100mm BB: 6.5m/115mm SHBB: 8m/410mm;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_hidden_1;BC: 100mm / BB: 100mm / SHBB: 410mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_hidden_2;BC: 110mm / BB: 110mm / SHBB: 450mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_hidden_3;BC: 115mm / BB: 115mm / SHBB: 500mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_hidden_4;BC: 127mm / BB: 127mm / SHBB: 550mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_hidden_5;BC: 127mm / BB: 127mm / SHBB: 600mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_hidden_6;BC: 140mm / BB: 140mm / SHBB: 620mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_hidden_7;BC: 140mm / BB: 140mm / SHBB: 650mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_hidden_8;BC: 152mm / BB: 152mm / SHBB: 675mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_hidden_9;BC: 152mm / BB: 152mm / SHBB: 700mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_technology_hidden_1;BuShips Super Heavy Battleship Blueprint 1940;;;;;;;;;;;;;x
USA_super_heavy_battleship_technology_hidden_2;BuShips Super Heavy Battleship Blueprint 1942;;;;;;;;;;;;;x
USA_super_heavy_battleship_technology_hidden_3;BuShips Super Heavy Battleship Blueprint 1945;;;;;;;;;;;;;x
USA_super_heavy_battleship_technology_hidden_4;BuShips Super Heavy Battleship Blueprint 1948;;;;;;;;;;;;;x
USA_super_heavy_battleship_technology_hidden_5;BuShips Super Heavy Battleship Blueprint 1951;;;;;;;;;;;;;x
USA_fast_battleship_hidden_1;;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_hidden_1;SC-1 / CXAM;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_hidden_2;SC-1 / CXAM-1;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_hidden_3;SC-2 / SG-1;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_hidden_4;SC-3 / SG-2;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_hidden_5;SC-3A / SG-3;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_hidden_6;SC-4 / SG-4;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_hidden_7;SC-4 / SG-A;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_hidden_8;SC-5 / SG-B;;;;;;;;;;;;;;x
